fiber_node;address;coordinate
FOT054;KALINYAMAT WETAN AREA;-6.890948,109.111426
FOT055;PANGGUNG AREA (2);-6.864994,109.144302
FOT056;SLEROK AREA (2);-6.869184,109.146772
FSK086;BUKIT MUTIARA JAYA 3 (2);-7.065481,110.455097
FSK083;BUKIT MUTIARA JAYA 2;-7.065491,110.455956
FSK087;BUKIT MUTIARA JAYA 1 (1);-7.064058,110.458426
FSK085;BUKIT MUTIARA JAYA 3 (1);-7.066335,110.453448
FOT062;KRATON AREA (1);-6.862931,109.1257959
FOT063;KRATON AREA (2);-6.863153,109.128385
FOT058;PEKAUMAN AREA (4);-6.871155,109.130661
FOT059;PEKAUMAN AREA (5);-6.872936,109.131254
FOT064;KRATON AREA (3);-6.8675,109.127315
FOT060;PEKAUMAN AREA (6);-6.867848,109.134722
